C3646|Header_Concept|Neoplasm of Uncertain Malignant Potential|C3341|Pre-Cancerous Condition|NCI-2009-00324
C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer|NCI-2015-01097,NCI-2016-00311,NCI-2016-00161,NCI-2017-00050,NCI-2015-01207,NCI-2016-00086,NCI-2016-00184,NCI-2015-00123,NCI-2010-01001,NCI-2015-00684,NCI-2014-01219,NCI-2016-01594,NCI-2016-01225,NCI-2015-02218,NCI-2017-00544,NCI-2015-01693,NCI-2017-00045,NCI-2016-00679,NCI-2013-02337,NCI-2016-01037,NCI-2016-01142,NCI-2016-00470,NCI-2016-01343,NCI-2013-02181,NCI-2016-01782,NCI-2012-00146,NCI-2015-01061,NCI-2014-02265,NCI-2015-00184,NCI-2011-00920,NCI-2015-02150,NCI-2017-00578,NCI-2016-00673
C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer|NCI-2015-01097,NCI-2016-00311,NCI-2016-00161,NCI-2017-00050,NCI-2015-01207,NCI-2016-00086,NCI-2016-00184,NCI-2015-00123,NCI-2010-01001,NCI-2015-00684,NCI-2014-01219,NCI-2016-01594,NCI-2016-01225,NCI-2015-02218,NCI-2017-00544,NCI-2015-01693,NCI-2017-00045,NCI-2016-00679,NCI-2013-02337,NCI-2016-01037,NCI-2016-01142,NCI-2016-00470,NCI-2016-01343,NCI-2013-02181,NCI-2016-01782,NCI-2012-00146,NCI-2015-01061,NCI-2014-02265,NCI-2015-00184,NCI-2011-00920,NCI-2015-02150,NCI-2017-00578,NCI-2016-00673
C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma|NCI-2012-00712,NCI-2013-00464,NCI-2011-02673,NCI-2012-00644,NCI-2014-00470,NCI-2009-01348,NCI-2011-02643,NCI-2013-00069,NCI-2014-00249,NCI-2009-01208,NCI-2012-00639,NCI-2012-01078,NCI-2010-01444,NCI-2014-00399,NCI-2010-02157,NCI-2014-01535,NCI-2011-03309,NCI-2013-00003,NCI-2009-00556,NCI-2010-02003,NCI-2012-00773,NCI-2013-01017,NCI-2012-00640,NCI-2011-02508,NCI-2012-01079,NCI-2011-02878,NCI-2013-02359,NCI-2012-01889,NCI-2012-00636
C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma|NCI-2012-00712,NCI-2013-00464,NCI-2011-02673,NCI-2012-00644,NCI-2014-00470,NCI-2009-01348,NCI-2011-02643,NCI-2013-00069,NCI-2014-00249,NCI-2009-01208,NCI-2012-00639,NCI-2012-01078,NCI-2010-01444,NCI-2014-00399,NCI-2010-02157,NCI-2014-01535,NCI-2011-03309,NCI-2013-00003,NCI-2009-00556,NCI-2010-02003,NCI-2012-00773,NCI-2013-01017,NCI-2012-00640,NCI-2011-02508,NCI-2012-01079,NCI-2011-02878,NCI-2013-02359,NCI-2012-01889,NCI-2012-00636
C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma|NCI-2012-00712,NCI-2013-00464,NCI-2011-02673,NCI-2012-00644,NCI-2014-00470,NCI-2009-01348,NCI-2011-02643,NCI-2013-00069,NCI-2014-00249,NCI-2009-01208,NCI-2012-00639,NCI-2012-01078,NCI-2012-00807,NCI-2014-00399,NCI-2013-00698,NCI-2010-02157,NCI-2014-01535,NCI-2011-03309,NCI-2013-00003,NCI-2009-00556,NCI-2011-00877,NCI-2012-01076,NCI-2010-02003,NCI-2012-00773,NCI-2013-01017,NCI-2012-00640,NCI-2011-02508,NCI-2012-01079,NCI-2014-01843,NCI-2011-02878,NCI-2013-02359,NCI-2012-01889,NCI-2012-00636
C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma|NCI-2012-00712,NCI-2013-00464,NCI-2011-02673,NCI-2012-00644,NCI-2014-00470,NCI-2009-01348,NCI-2011-02643,NCI-2013-00069,NCI-2014-00249,NCI-2009-01208,NCI-2012-00639,NCI-2012-01078,NCI-2012-00807,NCI-2014-01875,NCI-2010-01444,NCI-2014-00399,NCI-2013-00698,NCI-2010-02157,NCI-2014-01535,NCI-2013-01940,NCI-2011-03309,NCI-2013-00003,NCI-2009-00556,NCI-2011-00877,NCI-2012-01076,NCI-2010-02003,NCI-2012-00773,NCI-2013-01017,NCI-2012-00640,NCI-2011-02508,NCI-2012-01079,NCI-2014-01843,NCI-2011-02878,NCI-2013-02359,NCI-2012-01889,NCI-2012-00636
C8573|Obsolete_Concept|Stage IIC Adult Soft Tissue Sarcoma|C6538|Stage II Soft Tissue Sarcoma|NCI-2012-01931
C8471|Obsolete_Concept|Stage II Contiguous Adult Diffuse Small Cleaved Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma|NCI-2013-00464,NCI-2012-00644,NCI-2013-00069,NCI-2009-01208,NCI-2012-00639,NCI-2012-01078,NCI-2014-01535,NCI-2013-00003,NCI-2010-02003,NCI-2012-00773,NCI-2013-01017,NCI-2012-00640,NCI-2012-01079,NCI-2013-02359,NCI-2012-00636
C8474|Obsolete_Concept|Stage II Contiguous Adult Diffuse Mixed Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma|NCI-2013-00464,NCI-2012-00644,NCI-2013-00069,NCI-2009-01208,NCI-2012-00639,NCI-2012-01078,NCI-2010-02157,NCI-2014-01535,NCI-2013-00003,NCI-2010-02003,NCI-2012-00773,NCI-2013-01017,NCI-2012-00640,NCI-2012-01079,NCI-2011-02878,NCI-2013-02359,NCI-2012-01889,NCI-2012-00636
C9197|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Small Cleaved Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma|NCI-2013-00464,NCI-2012-00644,NCI-2013-00069,NCI-2009-01208,NCI-2012-00639,NCI-2012-01078,NCI-2014-01535,NCI-2013-00003,NCI-2010-02003,NCI-2012-00773,NCI-2013-01017,NCI-2012-00640,NCI-2012-01079,NCI-2013-02359,NCI-2012-00636
