NCI-2009-00324|C3646|Header_Concept|Neoplasm of Uncertain Malignant Potential|C3341|Pre-Cancerous Condition
NCI-2015-01097|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2016-00311|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2016-00161|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2017-00050|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2015-01207|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2016-00086|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2016-00184|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2015-00123|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2010-01001|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2015-00684|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2014-01219|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2016-01594|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2016-01225|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2015-02218|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2017-00544|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2015-01693|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2017-00045|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2016-00679|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2013-02337|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2016-01037|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2016-01142|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2016-00470|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2016-01343|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2013-02181|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
